,,List of Hero Gear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gear Level,Slot,Aayla Secura,Min Lvl,Admiral Ackbar,Min Lvl,Ahsoka Tano,Min Lvl,Asajj Ventress,Min Lvl,Barriss Offee,Min Lvl,Biggs Darklighter,Min Lvl,Boba Fett,Min Lvl,Cad Bane,Min Lvl,Captain Phasma,Min Lvl,Clone Sergeant - Phase I,Min Lvl,Clone Wars Chewbacca,Min Lvl,Coruscant Underworld Police,Min Lvl,Count Dooku,Min Lvl,"CT-5555 ""Fives""",Min Lvl,"CT-7567 ""Rex""",Min Lvl,Darth Maul,Min Lvl,Darth Sidious,Min Lvl,Darth Vader,Min Lvl,Dathcha,Min Lvl,Eeth Koth,Min Lvl,Ewok Elder,Min Lvl,Ewok Scout,Min Lvl,Finn,Min Lvl,First Order Officer,Min Lvl,First Order Stormtrooper,Min Lvl,First Order TIE Pilot,Min Lvl,General Veers,Min Lvl,Geonosian Soldier,Min Lvl,Grand Master Yoda,Min Lvl,Grand Moff Tarkin,Min Lvl,Greedo,Min Lvl,HK-47,Min Lvl,Hoth Rebel Scout,Min Lvl,Hoth Rebel Soldier,Min Lvl,IG-100 MagnaGuard,Min Lvl,IG-86 Sentinel Droid,Min Lvl,IG-88,Min Lvl,Ima-Gun Di,Min Lvl,Jawa,Min Lvl,Jedi Consular,Min Lvl,Jedi Knight Anakin,Min Lvl,Jedi Knight Guardian,Min Lvl,Kit Fisto,Min Lvl,Kylo Ren,Min Lvl,Lando Calrissian,Min Lvl,Lobot,Min Lvl,Luke Skywalker,Min Lvl,Luminara Unduli,Min Lvl,Mace Windu,Min Lvl,Mob Enforcer,Min Lvl,Nightsister Acolyte,Min Lvl,Nightsister Initiate,Min Lvl,Nute Gunray,Min Lvl,Obi-Wan Kenobi (Old Ben),Min Lvl,Old Daka,Min Lvl,Plo Koon,Min Lvl,Poe Dameron,Min Lvl,Poggle the Lesser,Min Lvl,Princess Leia,Min Lvl,Qui-Gon Jinn,Min Lvl,Resistance Pilot,Min Lvl,Resistance Trooper,Min Lvl,Rey,Min Lvl,Royal Guard,Min Lvl,Savage Opress,Min Lvl,Snowtrooper,Min Lvl,Stormtrooper,Min Lvl,Stormtrooper Han,Min Lvl,Talia,Min Lvl,Teebo,Min Lvl,Tusken Raider,Min Lvl,Ugnaught,Min Lvl,URoRRuR'R'R,Min Lvl
Gear Level 1,#1,TaggeCo Holo Lens (Mk 1),2,BAW Armor Mod (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,BAW Armor Mod (Mk 1),2,BAW Armor Mod (Mk 1),2,BAW Armor Mod (Mk 1),2,Loronar Power Cell (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,Neuro-Saav Electrobinoculars (Mk 1),2,BAW Armor Mod (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,Loronar Power Cell (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,BlasTech Weapon Mod (Mk 1),1,Loronar Power Cell (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,Neuro-Saav Electrobinoculars (Mk 1),2,Fabritech Data Pad (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,BlasTech Weapon Mod (Mk 1),1,Neuro-Saav Electrobinoculars (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,Nubian Security Scanner (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,BlasTech Weapon Mod (Mk 1),1,BlasTech Weapon Mod (Mk 1),1,TaggeCo Holo Lens (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,BioTech Implant (Mk 1),2,BioTech Implant (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,Neuro-Saav Electrobinoculars (Mk 1),2,CEC Fusion Furnace (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BAW Armor Mod (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,CEC Fusion Furnace (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BAW Armor Mod (Mk 1),2,BAW Armor Mod (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,Loronar Power Cell (Mk 1),2,BAW Armor Mod (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,Loronar Power Cell (Mk 1),2,BAW Armor Mod (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BAW Armor Mod (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,BlasTech Weapon Mod (Mk 1),1,BAW Armor Mod (Mk 1),2,BAW Armor Mod (Mk 1),2,BAW Armor Mod (Mk 1),2,BAW Armor Mod (Mk 1),2,BAW Armor Mod (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,BlasTech Weapon Mod (Mk 1),1,BlasTech Weapon Mod (Mk 1),1,Loronar Power Cell (Mk 1),2,BAW Armor Mod (Mk 1),2,Nubian Security Scanner (Mk 1),2,BAW Armor Mod (Mk 1),2,A/KT Stun Gun (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,BAW Armor Mod (Mk 1),2,BioTech Implant (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,A/KT Stun Gun (Mk 1),2,BAW Armor Mod (Mk 1),2,BAW Armor Mod (Mk 1),2
Gear Level 1,#2,TaggeCo Holo Lens (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,BAW Armor Mod (Mk 1),2,BAW Armor Mod (Mk 1),2,BAW Armor Mod (Mk 1),2,Loronar Power Cell (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,Nubian Security Scanner (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,Loronar Power Cell (Mk 1),2,BAW Armor Mod (Mk 1),2,BAW Armor Mod (Mk 1),2,Loronar Power Cell (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Arakyd Droid Caller (Mk 1),2,BAW Armor Mod (Mk 1),2,BAW Armor Mod (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Nubian Security Scanner (Mk 1),2,Loronar Power Cell (Mk 1),2,Fabritech Data Pad (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BioTech Implant (Mk 1),2,BAW Armor Mod (Mk 1),2,CEC Fusion Furnace (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Arakyd Droid Caller (Mk 1),2,Nubian Security Scanner (Mk 1),2,A/KT Stun Gun (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BAW Armor Mod (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,CEC Fusion Furnace (Mk 1),2,Nubian Security Scanner (Mk 1),2,BioTech Implant (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Nubian Security Scanner (Mk 1),2,CEC Fusion Furnace (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,TaggeCo Holo Lens (Mk 1),2,BAW Armor Mod (Mk 1),2,BAW Armor Mod (Mk 1),2,Loronar Power Cell (Mk 1),2,A/KT Stun Gun (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BAW Armor Mod (Mk 1),2,Loronar Power Cell (Mk 1),2,BAW Armor Mod (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Nubian Security Scanner (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BAW Armor Mod (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,Loronar Power Cell (Mk 1),2,Loronar Power Cell (Mk 1),2,BAW Armor Mod (Mk 1),2,CEC Fusion Furnace (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,Loronar Power Cell (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BioTech Implant (Mk 1),2,Nubian Security Scanner (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BAW Armor Mod (Mk 1),2,BAW Armor Mod (Mk 1),2
Gear Level 1,#3,Nubian Security Scanner (Mk 1),2,BioTech Implant (Mk 1),2,BAW Armor Mod (Mk 1),2,Loronar Power Cell (Mk 1),2,Nubian Security Scanner (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Fabritech Data Pad (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,A/KT Stun Gun (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,BAW Armor Mod (Mk 1),2,Arakyd Droid Caller (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Arakyd Droid Caller (Mk 1),2,Loronar Power Cell (Mk 1),2,Loronar Power Cell (Mk 1),2,Nubian Security Scanner (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Loronar Power Cell (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Fabritech Data Pad (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Arakyd Droid Caller (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,BioTech Implant (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Nubian Security Scanner (Mk 1),2,Nubian Security Scanner (Mk 1),2,A/KT Stun Gun (Mk 1),2,BAW Armor Mod (Mk 1),2,BioTech Implant (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Loronar Power Cell (Mk 1),2,Nubian Security Scanner (Mk 1),2,BioTech Implant (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,Nubian Security Scanner (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,CEC Fusion Furnace (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Fabritech Data Pad (Mk 1),2,BioTech Implant (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Arakyd Droid Caller (Mk 1),2,BioTech Implant (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,BioTech Implant (Mk 1),2,Nubian Security Scanner (Mk 1),2,Loronar Power Cell (Mk 1),2,Nubian Security Scanner (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,BioTech Implant (Mk 1),2,Loronar Power Cell (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Loronar Power Cell (Mk 1),2,BioTech Implant (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Arakyd Droid Caller (Mk 1),2,CEC Fusion Furnace (Mk 1),2,Nubian Security Scanner (Mk 1),2,Nubian Security Scanner (Mk 1),2,Nubian Security Scanner (Mk 1),2,Loronar Power Cell (Mk 1),2,CEC Fusion Furnace (Mk 1),2,CEC Fusion Furnace (Mk 1),2,Nubian Security Scanner (Mk 1),2,Nubian Security Scanner (Mk 1),2,BioTech Implant (Mk 1),2,BioTech Implant (Mk 1),2
Gear Level 1,#4,Loronar Power Cell (Mk 1),2,BioTech Implant (Mk 1),2,BAW Armor Mod (Mk 1),2,Loronar Power Cell (Mk 1),2,Nubian Security Scanner (Mk 1),2,Loronar Power Cell (Mk 1),2,Arakyd Droid Caller (Mk 1),2,A/KT Stun Gun (Mk 1),2,BAW Armor Mod (Mk 1),2,Loronar Power Cell (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Arakyd Droid Caller (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Loronar Power Cell (Mk 1),2,Fabritech Data Pad (Mk 1),2,Nubian Security Scanner (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Fabritech Data Pad (Mk 1),2,Fabritech Data Pad (Mk 1),2,Arakyd Droid Caller (Mk 1),2,CEC Fusion Furnace (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Loronar Power Cell (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Arakyd Droid Caller (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,BAW Armor Mod (Mk 1),2,BioTech Implant (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Loronar Power Cell (Mk 1),2,Arakyd Droid Caller (Mk 1),2,CEC Fusion Furnace (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Loronar Power Cell (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Nubian Security Scanner (Mk 1),2,Nubian Security Scanner (Mk 1),2,Arakyd Droid Caller (Mk 1),2,BioTech Implant (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BioTech Implant (Mk 1),2,A/KT Stun Gun (Mk 1),2,BioTech Implant (Mk 1),2,Nubian Security Scanner (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Nubian Security Scanner (Mk 1),2,Arakyd Droid Caller (Mk 1),2,BioTech Implant (Mk 1),2,Fabritech Data Pad (Mk 1),2,BioTech Implant (Mk 1),2,Loronar Power Cell (Mk 1),2,BioTech Implant (Mk 1),2,A/KT Stun Gun (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,CEC Fusion Furnace (Mk 1),2,Nubian Security Scanner (Mk 1),2,Nubian Security Scanner (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Fabritech Data Pad (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,CEC Fusion Furnace (Mk 1),2,Nubian Security Scanner (Mk 1),2,BioTech Implant (Mk 1),2,BioTech Implant (Mk 1),2
Gear Level 1,#5,Neuro-Saav Electrobinoculars (Mk 1),2,A/KT Stun Gun (Mk 1),2,Loronar Power Cell (Mk 1),2,BioTech Implant (Mk 1),2,Fabritech Data Pad (Mk 1),2,Loronar Power Cell (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,Neuro-Saav Electrobinoculars (Mk 1),2,Loronar Power Cell (Mk 1),2,Loronar Power Cell (Mk 1),2,Nubian Security Scanner (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Loronar Power Cell (Mk 1),2,Nubian Security Scanner (Mk 1),2,Fabritech Data Pad (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Arakyd Droid Caller (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,Fabritech Data Pad (Mk 1),2,Arakyd Droid Caller (Mk 1),2,Arakyd Droid Caller (Mk 1),2,Arakyd Droid Caller (Mk 1),2,BAW Armor Mod (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,Loronar Power Cell (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,Loronar Power Cell (Mk 1),2,BAW Armor Mod (Mk 1),2,A/KT Stun Gun (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,BAW Armor Mod (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Fabritech Data Pad (Mk 1),2,A/KT Stun Gun (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,A/KT Stun Gun (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Loronar Power Cell (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Arakyd Droid Caller (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,A/KT Stun Gun (Mk 1),2,CEC Fusion Furnace (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Loronar Power Cell (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,TaggeCo Holo Lens (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Arakyd Droid Caller (Mk 1),2,BioTech Implant (Mk 1),2,Fabritech Data Pad (Mk 1),2,Arakyd Droid Caller (Mk 1),2,BioTech Implant (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Fabritech Data Pad (Mk 1),2,Fabritech Data Pad (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,BlasTech Weapon Mod (Mk 1),1,BlasTech Weapon Mod (Mk 1),1,BlasTech Weapon Mod (Mk 1),1,BlasTech Weapon Mod (Mk 1),1,Loronar Power Cell (Mk 1),2,Fabritech Data Pad (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,Fabritech Data Pad (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2
Gear Level 1,#6,CEC Fusion Furnace (Mk 1),2,CEC Fusion Furnace (Mk 1),2,Loronar Power Cell (Mk 1),2,BioTech Implant (Mk 1),2,Fabritech Data Pad (Mk 1),2,A/KT Stun Gun (Mk 1),2,BAW Armor Mod (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Arakyd Droid Caller (Mk 1),2,CEC Fusion Furnace (Mk 1),2,CEC Fusion Furnace (Mk 1),2,A/KT Stun Gun (Mk 1),2,CEC Fusion Furnace (Mk 1),2,Fabritech Data Pad (Mk 1),2,Nubian Security Scanner (Mk 1),2,CEC Fusion Furnace (Mk 1),2,CEC Fusion Furnace (Mk 1),2,BAW Armor Mod (Mk 1),2,BioTech Implant (Mk 1),2,BioTech Implant (Mk 1),2,CEC Fusion Furnace (Mk 1),2,BioTech Implant (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BioTech Implant (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 2),10,Fabritech Data Pad (Mk 1),2,Arakyd Droid Caller (Mk 1),2,Fabritech Data Pad (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,A/KT Stun Gun (Mk 1),2,Loronar Power Cell (Mk 1),2,BAW Armor Mod (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,A/KT Stun Gun (Mk 1),2,Arakyd Droid Caller (Mk 1),2,A/KT Stun Gun (Mk 1),2,Arakyd Droid Caller (Mk 1),2,BAW Armor Mod (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Fabritech Data Pad (Mk 1),2,CEC Fusion Furnace (Mk 1),2,BAW Armor Mod (Mk 1),2,Nubian Security Scanner (Mk 1),2,CEC Fusion Furnace (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 2),10,Arakyd Droid Caller (Mk 1),2,Fabritech Data Pad (Mk 1),2,CEC Fusion Furnace (Mk 1),2,Arakyd Droid Caller (Mk 1),2,A/KT Stun Gun (Mk 1),2,Arakyd Droid Caller (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,CEC Fusion Furnace (Mk 1),2,Fabritech Data Pad (Mk 1),2,CEC Fusion Furnace (Mk 1),2,Arakyd Droid Caller (Mk 1),2,CEC Fusion Furnace (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,CEC Fusion Furnace (Mk 1),2,CEC Fusion Furnace (Mk 1),2,Loronar Power Cell (Mk 1),2,Nubian Security Scanner (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Fabritech Data Pad (Mk 1),2,Fabritech Data Pad (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,BlasTech Weapon Mod (Mk 1),1,TaggeCo Holo Lens (Mk 1),2,Fabritech Data Pad (Mk 1),2,Arakyd Droid Caller (Mk 1),2,A/KT Stun Gun (Mk 1),2
Gear Level 2,#1,Neuro-Saav Electrobinoculars (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Loronar Power Cell (Mk 1),2,Loronar Power Cell (Mk 1),2,Fabritech Data Pad (Mk 1),2,Fabritech Data Pad (Mk 1),2,BlasTech Weapon Mod (Mk 2),10,BlasTech Weapon Mod (Mk 1),1,Nubian Security Scanner (Mk 1),2,SoroSuub Keypad (Mk 2),10,Neuro-Saav Electrobinoculars (Mk 1),2,Arakyd Droid Caller (Mk 1),2,Merr-Sonn Shield Generator (Mk 1),8,Fabritech Data Pad (Mk 1),2,SoroSuub Keypad (Mk 1),10,Neuro-Saav Electrobinoculars (Mk 1),2,Nubian Security Scanner (Mk 2),9,Chiewab Hypo Syringe (Mk 1),9,Merr-Sonn Shield Generator (Mk 1),8,BioTech Implant (Mk 1),2,TaggeCo Holo Lens (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Sienar Holo Projector (Mk 1),12,TaggeCo Holo Lens (Mk 1),2,Arakyd Droid Caller (Mk 1),2,Nubian Security Scanner (Mk 2),9,TaggeCo Holo Lens (Mk 3),10,Merr-Sonn Shield Generator (Mk 1),8,Neuro-Saav Electrobinoculars (Mk 1),2,BAW Armor Mod (Mk 2),9,BlasTech Weapon Mod (Mk 3),11,Arakyd Droid Caller (Mk 2),11,Chiewab Hypo Syringe (Mk 1),9,Merr-Sonn Shield Generator (Mk 1),8,Neuro-Saav Electrobinoculars (Mk 1),2,Nubian Security Scanner (Mk 2),9,SoroSuub Keypad (Mk 1),10,Chiewab Hypo Syringe (Mk 1),9,BioTech Implant (Mk 2),10,Neuro-Saav Electrobinoculars (Mk 2),10,Neuro-Saav Electrobinoculars (Mk 1),2,Sienar Holo Projector (Mk 1),12,Chiewab Hypo Syringe (Mk 1),9,Neuro-Saav Electrobinoculars (Mk 1),2,A/KT Stun Gun (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Sienar Holo Projector (Mk 1),12,CEC Fusion Furnace (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Czerka Stun Cuffs (Mk 1),10,BAW Armor Mod (Mk 1),2,Nubian Security Scanner (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,Merr-Sonn Shield Generator (Mk 1),8,CEC Fusion Furnace (Mk 1),2,Fabritech Data Pad (Mk 1),2,BioTech Implant (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BioTech Implant (Mk 1),2,Nubian Security Scanner (Mk 2),9,SoroSuub Keypad (Mk 1),10,CEC Fusion Furnace (Mk 1),2,Chiewab Hypo Syringe (Mk 1),9,TaggeCo Holo Lens (Mk 2),10,TaggeCo Holo Lens (Mk 3),10,Loronar Power Cell (Mk 3),10,A/KT Stun Gun (Mk 1),2,Czerka Stun Cuffs (Mk 1),10,Chiewab Hypo Syringe (Mk 1),9,Neuro-Saav Electrobinoculars (Mk 2),10,Czerka Stun Cuffs (Mk 1),10,BAW Armor Mod (Mk 2),9
Gear Level 2,#2,Neuro-Saav Electrobinoculars (Mk 1),2,Neuro-Saav Electrobinoculars (Mk 1),2,BlasTech Weapon Mod (Mk 2),10,Merr-Sonn Shield Generator (Mk 1),8,Merr-Sonn Shield Generator (Mk 1),8,Nubian Security Scanner (Mk 2),9,SoroSuub Keypad (Mk 1),10,SoroSuub Keypad (Mk 1),10,Chiewab Hypo Syringe (Mk 1),9,Loronar Power Cell (Mk 2),9,Merr-Sonn Shield Generator (Mk 1),8,Merr-Sonn Shield Generator (Mk 1),8,Nubian Security Scanner (Mk 2),9,Merr-Sonn Shield Generator (Mk 1),8,SoroSuub Keypad (Mk 1),10,TaggeCo Holo Lens (Mk 3),10,Neuro-Saav Electrobinoculars (Mk 2),10,TaggeCo Holo Lens (Mk 2),10,BAW Armor Mod (Mk 2),9,BAW Armor Mod (Mk 2),9,Merr-Sonn Shield Generator (Mk 1),8,Merr-Sonn Shield Generator (Mk 1),8,SoroSuub Keypad (Mk 1),10,Sienar Holo Projector (Mk 1),12,Chiewab Hypo Syringe (Mk 1),9,BlasTech Weapon Mod (Mk 2),10,Czerka Stun Cuffs (Mk 1),10,Nubian Security Scanner (Mk 2),9,BAW Armor Mod (Mk 2),9,BlasTech Weapon Mod (Mk 3),11,SoroSuub Keypad (Mk 1),10,Chiewab Hypo Syringe (Mk 1),9,Sienar Holo Projector (Mk 1),12,Merr-Sonn Shield Generator (Mk 1),8,Loronar Power Cell (Mk 2),9,CEC Fusion Furnace (Mk 2),10,Neuro-Saav Electrobinoculars (Mk 2),10,Arakyd Droid Caller (Mk 2),11,Merr-Sonn Shield Generator (Mk 1),8,Fabritech Data Pad (Mk 2),10,Neuro-Saav Electrobinoculars (Mk 1),2,TaggeCo Holo Lens (Mk 2),10,TaggeCo Holo Lens (Mk 2),10,BioTech Implant (Mk 2),10,Neuro-Saav Electrobinoculars (Mk 1),2,Fabritech Data Pad (Mk 1),2,SoroSuub Keypad (Mk 2),10,Merr-Sonn Shield Generator (Mk 1),8,BAW Armor Mod (Mk 2),9,BAW Armor Mod (Mk 3),11,Merr-Sonn Shield Generator (Mk 1),8,Chiewab Hypo Syringe (Mk 1),9,Merr-Sonn Shield Generator (Mk 1),8,Neuro-Saav Electrobinoculars (Mk 1),2,BAW Armor Mod (Mk 2),9,BAW Armor Mod (Mk 2),9,Nubian Security Scanner (Mk 2),9,Merr-Sonn Shield Generator (Mk 1),8,Merr-Sonn Shield Generator (Mk 1),8,Czerka Stun Cuffs (Mk 1),10,SoroSuub Keypad (Mk 1),10,SoroSuub Keypad (Mk 1),10,BlasTech Weapon Mod (Mk 2),10,TaggeCo Holo Lens (Mk 2),10,TaggeCo Holo Lens (Mk 2),10,TaggeCo Holo Lens (Mk 2),10,BlasTech Weapon Mod (Mk 3),11,Neuro-Saav Electrobinoculars (Mk 1),2,BAW Armor Mod (Mk 2),9,Nubian Security Scanner (Mk 1),2,TaggeCo Holo Lens (Mk 2),10,Czerka Stun Cuffs (Mk 1),10,BlasTech Weapon Mod (Mk 1),1
